name_of_investigator,created_at,updated_at,updated_by,date,overall_photos_front,overall_photos_back,overall_photos_left,overall_photos_right,detailed_photos_front,detailed_photos_back,detailed_photos_left,detailed_photos_right,elevations_assessed_front_o,elevations_assessed_back_o,elevations_assessed_left_o,elevations_assessed_right_o,latitude,longitude,geometry,address_suite,address_locality,address_postal_code,address_country,complete address,building_name,located_in_historic_district,occupancy_o,occupany_u,number_stories,year_built_o,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,understory_pct_of_building_footprint,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,,,wall_thickness,roof_shape_o,roof_shape_u,roof_slope_o,roof_slope_u,construction_type_o,construction_type_u,construction_type_u_unc,mwfrs_o,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,mwfrs_u_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_o,structural_wall_system_u,foundation_type_o,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_o,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate_o,wall_substrate_u,wall_substrate_u_unc,wall_cladding_o,wall_cladding_u,wall_cladding_u_unc,soffit_type_o,soffit_type_u,soffit_present_u,wall_fenesteration_protection_front,wall_fenesteration_protection_front_unc,wall_fenesteration_protection_back,wall_fenesteration_protection_back_unc,wall_fenesteration_protection_right,wall_fenesteration_protection_right_unc,wall_fenesteration_protection_left,wall_fenesteration_protection_left_unc,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,fenestration_protection_type_unc,fenesteration_ratio_o,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,large_door_opening_type_,opening_type,roof_system_o,roof_system_u,roof_system_u_unc,r2wall_attachment_o,r2wall_attachment_u,r2wall_attachment_type_unc,roof_substrate_type_o,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_o,roof_cover_u,roof_cover_u_unc,overhang_length_o,overhang_length_u,parapet_height_m,secondary_water_barrier_o,secondary_water_barrier_u,retrofit_type_1_o,retrofit_type_1_u,retrofit_type_2_o,reotrofit_2_u,retrofit_year_o,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,foundation_damage_cause_o,foundation_damage_cause_u,oop_failure_n,oop_failure_s,oop_failure_e,oop_failure_w,ip_failure_n,ip_failure_s,ip_failure_e,ip_failure_w,shortest_dist_from_tornado,status_u,risk_category_16,building_low_rise,building_open,building_enclosed,building_regular_shape,,exposure_category,building_natural_frequency,building_rigid,,about_structure,about_damages,about_openings,rest
Jordan nakayama,2021-12-14 20:44:30 UTC,2021-12-14 23:33:31 UTC,jon0003@auburn.edu,12/14/21,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,36.74236372,-88.63424029,POINT (-88.63424029201269 36.74236372264763),,Mayfield,42066,US,104 N Sixth St Mayfield Graves County KY 42066 US,,no,,institutional,1,,1990,780,isolated,recessed,3.5,0,3.5,s,25,29,,,0.3,,flat,,0,,wooden_light_frame,3,,wall_diaphragm_steel,roof_diaphragm_steel,no,3,single_leaf,2,,wood_frame,,slab_on_grade,2,,un,1,,foam_board,2,,brick_veneer,3,,NA,no,yes,3,yes,3,yes,3,yes,3,plywood,plywood,plywood,plywood,3,,no,no,yes,no,no,no,no,yes,single_garage,irregular,,steel_deck,2,,un,1,,metal_deck,2,,corrugated_metal,2,,0,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,49.80880681,minor,3,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 21:01:55 UTC,2021-12-14 23:33:07 UTC,jon0003@auburn.edu,12/14/21,yes,yes,no,no,no,no,no,no,no,no,no,no,36.74292282,-88.63480154,POINT (-88.63480154424906 36.7429228187373),,Mayfield,42066,US,205 N Sixth St Mayfield Graves County KY 42066 US,,no,,business,1,,1990,400,isolated,recessed,3.75,0,3.75,e,16,27,,,0.27,,hip,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,2,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick,2,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,un,1,,un,1,,plywood,2,,asphalt,2,,un,0,,,,,,,,,no,NA,1,,erosion,no,no,no,yes,no,no,no,no,49.79962522,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 22:19:22 UTC,2021-12-14 23:32:29 UTC,jon0003@auburn.edu,12/14/21,yes,yes,no,yes,no,no,no,no,no,no,no,no,36.74371914,-88.63156311,POINT (-88.6315631121397 36.74371914078273),,Mayfield,42066,US,230 N Fourth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,163,isolated,recessed,3.5,0,3.5,w,11,16,,,0.2,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,2,,wood_frame,,slab_on_grade,2,,un,1,,foam_board,3,,brick,2,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,corrugated_metal,3,,0.15,0,,,,,,,,,no,NA,3,,erosion,no,yes,no,no,no,no,no,no,50.09097528,minor,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 22:19:54 UTC,2021-12-14 23:30:44 UTC,jon0003@auburn.edu,12/14/21,yes,yes,yes,no,no,no,no,no,no,no,no,no,36.74451545,-88.63298032,POINT (-88.63298032432795 36.74451545456556),,Mayfield,42066,US,302 N Fifth St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,140,isolated,recessed,6,0,3,w,15,10,,,0.24,,hip,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,2,single_leaf,2,,wood_frame,,slab_on_grade,2,,un,1,,un,1,,un,1,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,erosion,yes,yes,yes,yes,no,no,no,no,50.03140598,destroyed,2,yes,,,,,,,,,,,,
David Roueche,2021-12-14 21:51:41 UTC,2021-12-15 17:23:56 UTC,mariant.gutierrezsoto@uky.edu,12/14/21,yes,yes,no,no,yes,no,no,no,no,no,no,no,36.74508394,-88.63126136,POINT (-88.63126136362553 36.74508393802766),,Mayfield,42066,united States,408 Indiana Avenue Mayfield Graves County Kentucky 42066 united States,,no,"Residential,Apartment houses/dormitories/ fraternities and sororities/",residental,1,,1990,355,isolated,recessed,3.5,0,3.5,s,12.73,30,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,2,single_leaf,3,,wood_frame,,slab_on_grade,3,,anchor_bolts,3,,foam_board,3,,un,1,,vinyl,yes,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,regular,,un,1,,metal_straps,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,2,,erosion,yes,yes,yes,no,no,no,no,no,50.19464299,destroyed,2,yes,,,,,,,,,,,,
David Roueche,2021-12-14 22:06:56 UTC,2022-03-24 15:56:18 UTC,ajp7096@psu.edu,12/14/21,yes,yes,no,no,yes,no,no,no,no,no,no,no,36.74500925,-88.63062333,POINT (-88.63062333315611 36.74500925093219),,Mayfield,42066,united States,408 Indiana Avenue Mayfield Graves County Kentucky 42066 united States,,no,Business,residental,1,,1990,275,isolated,recessed,3.5,0,3.5,e,15,17.7,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,3,,un,1,,foam_board,3,,brick_veneer,3,,vinyl,yes,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,2,,NA,no,no,no,no,no,no,no,no,50.23827872,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-14 22:49:04 UTC,2021-12-14 23:31:04 UTC,jon0003@auburn.edu,12/14/21,yes,no,yes,yes,no,no,no,no,no,no,no,no,36.74471373,-88.63350235,POINT (-88.63350234925747 36.744713725740866),,Mayfield,42066,US,309 N Fifth St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,175,isolated,recessed,5.5,0,2.5,e,12,12,,,0.23,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,2,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,vinyl,yes,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0,0,,,,,,,,,no,NA,2,,erosion,yes,yes,yes,yes,no,no,no,no,50.00390717,destroyed,2,yes,,,,,,,,,,,,
napolitano ,2021-12-14 18:07:40 UTC,2021-12-16 23:49:04 UTC,nap@psu.edu,12/14/21,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,37.10067239,-87.85345595,POINT (-87.8534559533 37.10067239339298),,Princeton,42445,US,1205 university Dr Princeton Caldwell County KY 42445 US,,no,,educational,2,,2018,5000,isolated,recessed,5,0,2.5,s,43,150,,,0.3,,flat,,0,,steel_moment_frame,3,,wall_diaphragm_steel,roof_diaphragm_steel,no,3,double_leaf,3,,steel_moment_resisting_frame,,slab_on_grade,3,,un,1,,sheathing_insulate,3,,brick_veneer,3,,NA,no,no,3,no,1,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,yes,no,no,no,yes,rollup,irregular,,steel_deck,2,,un,1,,metal_deck,3,,corrugated_metal,3,,0,0.25,,,,,,,,,no,NA,3,,erosion,yes,yes,yes,yes,no,no,no,no,61.80505624,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:10:06 UTC,2021-12-15 14:14:57 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,36.73608335,-88.64360053,POINT (-88.64360053092241 36.7360833510118),,Mayfield,42066,US,604 S 12th St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,280,isolated,recessed,6,0,3,w,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick_veneer,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,48.73120797,moderate,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:16:38 UTC,2021-12-15 14:25:11 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,36.73576361,-88.6435955,POINT (-88.64359550178051 36.73576360925544),,Mayfield,42066,US,604 S 12th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,280,isolated,recessed,3.5,0,3,w,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick_veneer,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,48.71276115,minor,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:25:26 UTC,2021-12-15 14:31:12 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.73576737,-88.64299905,POINT (-88.64299904555082 36.73576737093093),,Mayfield,42066,US,510 Oak St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,280,isolated,recessed,6,0,3,s,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick_veneer,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,erosion,yes,yes,yes,yes,no,no,no,no,48.75808616,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:31:41 UTC,2021-12-15 14:34:37 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.73560401,-88.64264298,POINT (-88.6426429823041 36.73560400656955),,Mayfield,42066,US,510 Oak St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,280,isolated,recessed,6,0,3,w,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick_veneer,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,erosion,no,yes,yes,yes,no,no,no,no,48.77542254,severe,2,yes,,,,,,,,,,,,
Muhammad Rakeh Saleem,2021-12-15 14:29:34 UTC,2021-12-28 01:50:24 UTC,dbr0011@auburn.edu,12/15/21,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,36.735369,-88.642989,POINT (-88.642989 36.735369),,Mayfield,42066,united States,620 S 12th Street Mayfield Graves County Kentucky 42066 united States,,no,,residental,2,,1990,280,isolated,recessed,6,0,3,n,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,3,,un,1,,sheathing_insulate,3,,brick_veneer,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,48.73543755,minor,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:38:36 UTC,2022-03-21 19:54:26 UTC,dec5536@psu.edu,12/15/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.73619405,-88.64303023,POINT (-88.64303022623062 36.73619405120868),,Mayfield,42066,US,510 Oak St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,280,isolated,recessed,6,0,3,n,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick_veneer,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,yes,no,no,no,no,no,48.78083395,minor,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:45:08 UTC,2022-03-21 19:50:32 UTC,dec5536@psu.edu,12/15/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.73599307,-88.64298932,POINT (-88.64298932254314 36.73599307112141),,Mayfield,42066,US,602 Oak St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,280,isolated,recessed,6,0,3,n,10,30,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,slab_on_grade,2,,un,1,,sheathing_insulate,3,,brick_veneer,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,yes,no,no,no,no,no,no,48.77209737,minor,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:56:06 UTC,2021-12-15 14:58:11 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.73740637,-88.64288438,POINT (-88.64288438111544 36.73740636913156),,Mayfield,42066,US,519 Beech St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,95,isolated,recessed,3.5,0,3.5,S,11,8,,,0.23,,gable,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,1,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,wood,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,erosion,no,yes,yes,no,no,no,no,no,48.77209737,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 14:58:21 UTC,2021-12-15 15:00:15 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,36.7373967,-88.64260878,POINT (-88.64260878413916 36.73739669645796),,Mayfield,42066,US,515 Beech St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,160,isolated,recessed,3.5,0,3.5,s,14.46,9.45,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,anchor_bolts,2,,sheathing_insulate,3,,wood_plank,3,,NA,no,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,irregular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,2,,erosion,yes,yes,no,no,no,no,no,no,48.86335788,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-15 15:13:49 UTC,2021-12-15 15:21:34 UTC,jon0003@auburn.edu,12/15/21,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,36.93545141,-88.22533451,POINT (-88.22533451020718 36.935451411546545),,Gilbertsville,42044,US,479 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,1,,2003,125,isolated,recessed,3.5,0,3.5,e,14.55,18.2,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,Reinforced masonry stem wall,slab_on_grade,3,,anchor_bolts,2,,sheathing_insulate,3,,brick_veneer,3,,wood,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,un,1,,metal_straps,2,,plywood,1,,un,3,,un,0,,,,,,,,,no,NA,3,,erosion,no,no,yes,no,no,yes,no,no,51.03648954,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:02:26 UTC,2021-12-15 15:05:08 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,36.73705869,-88.64209011,POINT (-88.6420901119709 36.73705868948672),,Mayfield,42066,US,504 Beech St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,110,isolated,recessed,3.5,0,3.5,n,10,12,,,0.25,,hip,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,un,2,,wooden_sheathing_cont,2,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,48.90282369,minor,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:05:18 UTC,2021-12-15 15:12:52 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.7373349,-88.64208441,POINT (-88.64208441227674 36.737334898792206),,Mayfield,42066,US,429 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,150,isolated,recessed,3.5,0,3.5,e,13,14,,,0.25,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,anchor_bolts,2,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,2,,asphalt,2,,0.7,0,,,,,,,,,no,NA,3,,erosion,yes,no,no,no,no,no,no,yes,48.91954378,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:18:07 UTC,2021-12-15 15:29:46 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,36.73779811,-88.6421518,POINT (-88.64215180277824 36.73779811138873),,Mayfield,42066,US,415 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,150,isolated,recessed,3.5,0,3.5,e,14.8,12,,,0.24,,hip,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,yes,no,no,yes,no,yes,48.94180546,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:21:31 UTC,2021-12-15 15:24:07 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,36.73810092,-88.64215583,POINT (-88.64215582609177 36.738100917648346),,Mayfield,42066,US,407 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,145,isolated,recessed,3.5,0,3.5,e,13.3,9.9,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,,masonry_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.3,0,,,,,,,,,no,NA,3,,erosion,no,yes,no,no,no,no,no,no,48.95940274,moderate,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:32:46 UTC,2021-12-15 15:33:13 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.73814928,-88.64279419,POINT (-88.64279419183731 36.738149280560535),,Mayfield,42066,US,500 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,570,isolated,recessed,5,0,5,n,14.5,36.22,,,0.28,,gable,,45,,wooden_light_frame,1,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,NA,3,,un,1,,un,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,yes,no,no,no,single_garage_wind,regular,,un,1,,un,1,,plywood,1,,un,3,,un,0,,,,,,,,,no,NA,1,,NA,no,no,no,no,no,no,no,no,48.91410621,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:34:18 UTC,2021-12-15 15:34:45 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.73855902,-88.64257827,POINT (-88.64257827401161 36.7385590206774),,Mayfield,42066,US,513 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,130,isolated,recessed,3.5,0,3.5,s,15,9,,,0.24,,gable,,40,,wooden_light_frame,2,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,wood_frame,,un,1,,un,1,,wooden_sheathing_cont,3,,un,1,,un,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,regular,,un,1,,un,1,,plywood,1,,un,3,,un,0,,,,,,,,,no,NA,1,,erosion,no,yes,no,no,no,no,no,no,48.95466174,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:35:48 UTC,2021-12-15 15:37:00 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,no,yes,no,no,no,no,no,no,no,no,no,36.73854881,-88.64220981,POINT (-88.64220980554819 36.7385488107863),,Mayfield,42066,US,505 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,120,isolated,recessed,3.5,0,3.5,s,12,7.62,,,0.24,,gable,,30,,wooden_light_frame,2,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,1,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,erosion,no,yes,no,yes,no,no,no,no,48.98184057,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:38:43 UTC,2021-12-15 15:39:08 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.73854908,-88.6420311,POINT (-88.64203110337257 36.73854907946768),,Mayfield,42066,US,501 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,110,isolated,recessed,3.5,0,3.5,s,11,9.2,,,0.24,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,un,1,,un,1,,wooden_sheathing_cont,3,,wood_plank,3,,vinyl,yes,no,3,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,regular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,erosion,no,yes,no,no,no,yes,no,no,48.99533456,destroyed,2,yes,,,,,,,,,,,,
